GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema de Gestión de Biblioteca,util,ValidadorUtil,3,71,0,22,1,14,1,19,1,8
Sistema de Gestión de Biblioteca,service,BibliotecaService,5,266,1,35,1,62,1,32,0,15
Sistema de Gestión de Biblioteca,model,Libro,2,259,9,37,0,61,9,36,0,22
Sistema de Gestión de Biblioteca,Principal,Ejecutable,700,595,64,65,205,132,55,43,14,15
